"pid","image_slug","post_id","galleryid","filename","description","alttext","imagedate","exclude","sortorder","meta_data","fullpath"
"11","bird-stories","0","4","IMG_0009.jpg","This was a free handout. People had lots of them, but I didn\'t want to presume. Pretty cute.
http://buttersafe.com/","Bird Stories","2011-04-16 14:14:59","0","5","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:14 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/100 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1857;s:6:""height"";i:2427;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0009.jpg"
"12","the-chainsawsuit-initiative","0","4","IMG_0010.jpg","The first person we talked to was Scott Kurtz, stationed with Kris Straub. Taylor got his book signed and sketched, and I got this one. To feel like I was participating
http://chainsawsuit.com/","The Chainsawsuit Initiative","2011-04-16 14:15:08","0","3","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:15 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/130 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0010.jpg"
"13","the-chainsawsuit-initiative-inside","0","4","IMG_0011.jpg","Upon reading, I am sure I will know what this is all about.","The Chainsawsuit Initiative - inside","2011-04-16 14:15:16","0","4","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:15 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/100 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0011.jpg"
"14","cryptozoology-a-pragmatists-guide","0","4","IMG_0012.jpg","I was interested in a book called Carry On Carrion: A Crow Funeral, but Taylor fell in love with a drawing of a jackalope and bought the original. We got the book to go along with it.
http://www.reidpsaltis.com/","Cryptozoology: A  Pragmatist\'s Guide","2011-04-16 14:15:28","0","6","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:15 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:500;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2563;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0012.jpg"
"15","bear-fight","0","4","IMG_0013.jpg","A collection of one-off comics about whatever the artist thought of when they heard \""Bear fight.\""
http://www.banneryearpress.com/bearfight/","Bear Fight!","2011-04-16 14:15:38","0","7","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:15 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:250;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2509;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0013.jpg"
"16","island-of-the-moths","0","4","IMG_0014.jpg","I loved the black and white style of these comics, which are almost to the point of being combined into a trade. One of the friendliest signers there.
http://www.webcomicsnation.com/skorpen/moths/","Island of the Moths","2011-04-16 14:15:52","0","8","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:15 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/100 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2305;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0014.jpg"
"17","axecop","0","4","IMG_0015.jpg","Of course we were going to get Axe Cop. The artist was on his cellphone the whole time, but I think this was just unfortunate timing.
http://axecop.com/","Axecop","2011-04-16 14:16:03","0","9","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:16 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:640;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1945;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0015.jpg"
"18","the-adventures-of-unemployed-man","0","4","IMG_0016.jpg","This guy was wearing a costume. I should have taken a picture then. Excited about the artwork in this one, which is really old-school.
http://www.unemployedman.com/","The Adventures of Unemployed Man","2011-04-16 14:16:16","0","10","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:16 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/100 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2496;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0016.jpg"
"19","the-best-of-pvp-online","0","4","IMG_0017.jpg","After Taylor threatened to punch Scott Kurtz for giving him the PAX pox two years ago, he was still nice enough to sign and sketch this greatest hits collection.
http://www.pvponline.com/","The Best of PVP Online","2011-04-16 14:16:26","0","2","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:16 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:640;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2767;s:6:""height"";i:1952;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0017.jpg"
"20","elephantmen","0","4","IMG_0018.jpg","Considering that his comic has been optioned for a movie, Richard Starkings was certainly gracious.
http://www.hipflask.com/ ","Elephantmen","2011-04-16 14:16:39","0","12","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:16 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:500;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0018.jpg"
"21","elephantmen-inside-1","0","4","IMG_0019.jpg","Look at the sketches he drew!","Elephantmen - Inside 1","2011-04-16 14:16:47","0","13","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:16 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0019.jpg"
"22","elephantmen-inside-2","0","4","IMG_0020.jpg","So much artistry. Really, people behind us were getting bored.","Elephantmen - Inside 2","2011-04-16 14:16:56","0","14","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:16 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/100 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0020.jpg"
"23","elephantmen-inside-3","0","4","IMG_0021.jpg","We talked about the Portland rain. He said \""I\'m from England, where we invented the weather.\""","Elephantmen - Inside 3","2011-04-16 14:17:05","0","15","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:17 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:250;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2767;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0021.jpg"
"25","happy-cupcakes","0","5","img_0001.jpg","waiting to be devoured","Happy Cupcakes","2011-04-24 13:21:04","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 24, 2011 1:21 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:250;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:5:""Fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2448;s:6:""height"";i:3264;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/sriracha-cupcakes/img_0001.jpg"
"26","japanese-garden-01","0","6","Japanese Garden - 01.jpg",,"Japanese Garden - 01","2011-05-01 09:51:35","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:3:""F 4"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:19:""May 1, 2011 9:51 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:9:""1/250 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/japenese-gardens/Japanese Garden - 01.jpg"
"27","japanese-garden-02","0","6","Japanese Garden - 02.jpg",,"Japanese Garden - 02","2011-05-01 10:09:44","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:20:""May 1, 2011 10:09 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:200;s:13:""shutter_speed"";s:10:""1/1500 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:750;s:6:""height"";i:1000;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/japenese-gardens/Japanese Garden - 02.jpg"
"28","japanese-garden-03","0","6","Japanese Garden - 03.jpg",,"Japanese Garden - 03","2011-05-01 10:10:01","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:20:""May 1, 2011 10:10 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:200;s:13:""shutter_speed"";s:10:""1/1500 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:750;s:6:""height"";i:1000;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/japenese-gardens/Japanese Garden - 03.jpg"
"29","japanese-garden-04","0","6","Japanese Garden - 04.jpg",,"Japanese Garden - 04","2011-05-01 10:10:15","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:20:""May 1, 2011 10:10 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:10:""1/1500 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1000;s:6:""height"";i:750;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/japenese-gardens/Japanese Garden - 04.jpg"
"30","japanese-garden-05","0","6","Japanese Garden - 05.jpg",,"Japanese Garden - 05","2011-05-01 10:10:26","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:20:""May 1, 2011 10:10 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/400 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:750;s:6:""height"";i:1000;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/japenese-gardens/Japanese Garden - 05.jpg"
"31","japanese-garden-06","0","6","Japanese Garden - 06.jpg",,"Japanese Garden - 06","2011-05-01 10:10:29","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:20:""May 1, 2011 10:10 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:9:""1/400 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:750;s:6:""height"";i:1000;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/japenese-gardens/Japanese Garden - 06.jpg"
